Sexo;Edad;Total
M;0_04;0
M;05_09;2
M;10_14;5
M;15_19;12
M;20_24;24
M;25_29;37
M;30_34;34
M;35_39;64
M;40_44;83
M;45_49;95
M;50_54;117
M;55_59;137
M;60_64;88
M;65_69;59
M;70_74;72
M;75_79;62
M;80_84;56
M;85_89;39
M;90_94;21
M;95_mas;4
H;0_04;0
H;05_09;2
H;10_14;5
H;15_19;36
H;20_24;76
H;25_29;115
H;30_34;139
H;35_39;174
H;40_44;275
H;45_49;301
H;50_54;323
H;55_59;277
H;60_64;239
H;65_69;186
H;70_74;192
H;75_79;162
H;80_84;184
H;85_89;146
H;90_94;77
H;95_mas;21
