Edad;Sexo;Total
0;H;174641
1;H;186851
2;H;196328
3;H;210324
4;H;221813
5;H;228123
6;H;232274
7;H;229307
8;H;241951
9;H;251002
10;H;253285
11;H;259314
12;H;272599
13;H;263344
14;H;262183
15;H;256718
16;H;255713
17;H;251953
18;H;246672
19;H;248272
20;H;251671
21;H;246431
22;H;242735
23;H;244438
24;H;243032
25;H;245259
26;H;249484
27;H;258286
28;H;265949
29;H;264991
30;H;267566
31;H;271105
32;H;274902
33;H;277439
34;H;282674
35;H;292679
36;H;303501
37;H;313339
38;H;331708
39;H;347705
40;H;365006
41;H;376783
42;H;395546
43;H;402952
44;H;409401
45;H;407580
46;H;403517
47;H;394464
48;H;391944
49;H;384802
50;H;378233
51;H;373264
52;H;368517
53;H;368932
54;H;358879
55;H;353597
56;H;356499
57;H;338438
58;H;324443
59;H;315412
60;H;314992
61;H;304474
62;H;295075
63;H;285748
64;H;264424
65;H;254392
66;H;240239
67;H;238895
68;H;236200
69;H;217836
70;H;210043
71;H;213603
72;H;219969
73;H;197511
74;H;183812
75;H;187569
76;H;174113
77;H;166325
78;H;139649
79;H;123765
80;H;144348
81;H;89661
82;H;96360
83;H;101285
84;H;101891
85;H;91490
86;H;81978
87;H;74575
88;H;65031
89;H;53270
90;H;44067
91;H;34284
92;H;27104
93;H;19714
94;H;15119
95;H;10739
96;H;7792
97;H;5545
98;H;3626
99;H;2426
100;H;1004
101;H;592
102;H;354
103;H;246
104;H;194
105;H;184
